,text,voice_id,is_correct
0,vazirlar mahkamasining yangi tarkibi shakllantirilguniga qadar mamlakat prezidentining qaroriga muvofiq o'z faoliyatini davom ettirib turadi.,AwACAgIAAxkBAAMnX51d_nSMUcTaZw01ef1lmUsPYC0AApELAAJ-OfFIQWcAAf9KwaNBGwQ,False
1,vazirlar mahkamasi yangi saylangan O'zbekiston respublikasi oliy majlisi oldida o'z vakolatlarini zimmasidan soqit qiladi.,AwACAgIAAxkBAAM-X56Mzfq30YX1fm8LLfSuz70D8P8AAjQJAAJ-OflIH3SCf7RiFAQeBA,False
2,"qaynoq ko'z yoshlari bilan yuz ko'zlarini yuvib, qayg'u alangasida tutaqib yondi, suyaklariga qadar zirqirab og'ridi.",AwACAgIAAxkBAANDX56SQK8yOL4ERfQuu6nGuyM6TpAAAkQJAAJ-OflI0kgvInlxjdkeBA,False
3,"onasidan mash'um xabarni eshitgandan boshlab, tinmay yig'ladi.",AwACAgIAAxkBAANUX596HbtI-YIkSX1A9nLiYcPPCH4AAm0MAAKoKfhIsqLVUqI87rkeBA,False
4,yomon axloqning qalb sofligiga beradigan zarari esa qo'rqinchliroqdir.,AwACAgIAAxkBAANWX596MkwofNWpbY6tQftOE8bfTVsAAm4MAAKoKfhIQPTXT-dRFm8eBA,False
5,"onasidan mash'um xabarni eshitgandan boshlab, tinmay yig'ladi.",AwACAgIAAxkBAAODX5_l1DQpOaV3kLyLVnWWglmCFTsAAtEJAAIMOwABSaSIYCFTCGWlHgQ,False
6,vazirlar mahkamasining yangi tarkibi shakllantirilguniga qadar mamlakat prezidentining qaroriga muvofiq o'z faoliyatini davom ettirib turadi.,AwACAgEAAxkBAAPKX6Dw7OCLOqduzAnlXirmrj5ams0AAvoAA_sCCEUkJvikUFg-hR4E,False
7,"qaynoq ko'z yoshlari bilan yuz ko'zlarini yuvib, qayg'u alangasida tutaqib yondi, suyaklariga qadar zirqirab og'ridi.",AwACAgIAAxkBAAPaX6DxAAHQ7QKcG0Otvd-MNNtcc2P-AALCCgACuyIISWICjLX_Ik-hHgQ,False
8,"qaynoq ko'z yoshlari bilan yuz ko'zlarini yuvib, qayg'u alangasida tutaqib yondi, suyaklariga qadar zirqirab og'ridi.",AwACAgIAAxkBAAP6X6DxJHJMbqTV_jYOX8DzzgABrmaRAALKCgACxSQISWcVMjbCtsBuHgQ,False
9,"Shuningdek, boshqaruv matematik modelini yaratyapmiz.",AwACAgIAAxkBAAIBAAFfoPEtWqGIzPriV3NhQ89-_i8DZQACpgoAAudaCEmFMAs-PMPu6R4E,False
10,"Yozning oxiri, kuz oylarida sinadik, endi qish-bahor oylarida ham sinaymiz.",AwACAgEAAxkBAAPtX6DxFnsxP6T5XO72smQUZfL0pgcAAvsAA_sCCEWM65xLuMgM4h4E,False
11,vazirlar mahkamasi yangi saylangan O'zbekiston respublikasi oliy majlisi oldida o'z vakolatlarini zimmasidan soqit qiladi.,AwACAgIAAxkBAAP1X6DxHZ8TDHtUCkNUqaUMqMIz4eAAAo8KAAJ1lQhJA199XivDz_oeBA,False
12,"onasidan mash'um xabarni eshitgandan boshlab, tinmay yig'ladi.",AwACAgIAAxkBAAIBAV-g8S3qmdu8zu03nE5KY7AZ32tLAAJqCQAC3HQJSWMin0UD33DcHgQ,False
13,"kishilar bepoyon yashil o'tloqlar, tevarakni o'rab olgan turli tuman yovvoyi hayvonlaru bo'rilarning hamlalari aro turli taraflarga yo'l olganlar.",AwACAgIAAxkBAAIBDF-g8Tv5sUav6JBjRfuGQP8nx7PvAAJrCQAC3HQJSe21_u_XzhfqHgQ,False
14,vazirlar mahkamasi yangi saylangan O'zbekiston respublikasi oliy majlisi oldida o'z vakolatlarini zimmasidan soqit qiladi.,AwACAgIAAxkBAAO4X6Dw1oiqqtHsgvXxltbVTaEty2AAAvsKAALr7whJZbYU-mldqboeBA,False
15,"qaynoq ko'z yoshlari bilan yuz ko'zlarini yuvib, qayg'u alangasida tutaqib yondi, suyaklariga qadar zirqirab og'ridi.",AwACAgIAAxkBAAPuX6DxFqGm1GEpSAabP2RJYR-YWu0AAsgKAAIPAghJUIwJ0Gks-lYeBA,False
