sentence	sentence_id	locale	reason
Bir kuni xon qilichbozlik ko‘rigini o‘tkazdi	bab02706316d5f38b28fe153a22b0aa7497e9d64f1cf1e0e6d56b96275486a0c	uz	grammar-or-spelling
Uzoqdan bo‘lsada bir ko‘rib qolish uchun	c6dca419488d6f9069bdb16e069b434db79e66c6d53b62c1fee23c6061afec2f	uz	grammar-or-spelling
Baribir o‘g‘li olib ketiladi	51750055c1b5228c9394c8b34faa54b63bcb7cd4e47a370b1417cc101a695960	uz	grammar-or-spelling
Shu payt qirolning vakili keladi	ef9fc4675ddf371ef5f26fc3efa96952a104008bde45583bdbaf3bbc5a56ec26	uz	grammar-or-spelling
Bo‘lib o‘tgan qo‘zg‘olonlar Qo‘zg‘olon sabablari.	18c5d4bdf15e639097ffd5868e92dd55194198ce995864b59444f1e464f4f503	uz	grammar-or-spelling
Ikkinchi taymda Sulsher ham javob berdi va sxemani uchburchakdan, rombga aylantirdi.	04ebc7bcd8da3053365489cd56d739f4fda2fc35c1d1d3d5a8e1eb7eed1c7f28	uz	difficult-pronounce
Busiz halokatlar hech qachon kamaymaydi.	22003970920bef619421c3661788682147a0186fad13061412a8ea6e8d4781b5	uz	grammar-or-spelling
Aytaylik, undan bir oylik katta, o‘tgan mavsumni Chempionshipda o‘tkazgan.	15ab2b2ee9caffaa34f4bc71f2e9fc7df7f3cb96d25137a2ee7a0cf7008a8acf	uz	grammar-or-spelling
Suvosti televideniyesi.	04930a16cd3ff8f3f5717ace46fb315583dd0a83e1c02cd47292b11984cd7af3	uz	grammar-or-spelling
Xalq qasoskori bo‘lmish general ham xaltasini ko‘tarib choqib qolibdi.	18af41e8f06755d9e5a83bade8b4d2eea33d7668b43d3f0d17aef138bfe33724	uz	grammar-or-spelling
Islom esa u davrlarda o‘z nuri bilan musulmon sharqini munavvar etgan.	0053ab9ad1ee7b08b3ed5f51b91217d06909e4f126f6ff092710feb23e84aeb2	uz	different-language
Oyog‘idan mador ketdi.	138bc3b1c109dda90f1e5e80d47dc9fa5d0610ba3aa00ed353ad5bb39f9c1648	uz	different-language
Kichik tadbirkor esa unday emas.	249db2b15046b52b3499721f91666e8faef4c1cc5f880cf8c7f30c0d630f9c21	uz	different-language
Da’vogar yetarli dalil keltira olmadi.	1ef6e8bca2dd079908f3bbc2766ab3cf3d3c90117128fd626611b01faa68449e	uz	different-language
Universitet kasalxonasi ustidagi vertolyotlar qo‘nadigan joy.	2fb4ec6a5d4ab76b976c8c0c04e707dee5e3b9595e0f91313b2d0543a36cfbce	uz	different-language
Muammo Hamasning kirdikorlaridan yoki falastinliklarning zo‘ravon namoyishlaridan kattaroq.	07b3570885df1839d576037ebd0ad8d20c80e0905bbb958ca64c63b547d0d5bd	uz	different-language
Muammo Hamasning kirdikorlaridan yoki falastinliklarning zo‘ravon namoyishlaridan kattaroq.	07b3570885df1839d576037ebd0ad8d20c80e0905bbb958ca64c63b547d0d5bd	uz	difficult-pronounce
Maying sochlaringni silab uyquga ketaman.	5f87d5aa67bc25a49887df3e13e546a3f777a6cfc163a1ce10ad0fd124265ff1	uz	grammar-or-spelling
Kelajakda farzandlarimiz tarvuzda danak borligini muzeylardan o‘rganishadi.	a0a456625a1d6332a9b22569e8b3d6f617b020d85c9aab90f289e165609b644a	uz	difficult-pronounce
sizning bu muammoingizga yetib borishiga hali ancha qovun pishig‘i borga o‘xshayati	a40a867ce51c349ae4c131278f992504424e08cf7ee82781f30a082d6079c29d	uz	offensive-language
Agar bozorda kartoshkani narxini arzonlashtirilsa nima bo‘ladi?	9b0263bd808dfc61f932a91bbad5d1200af04bb0eb98d29b323b0f471bca6b86	uz	grammar-or-spelling
O‘tgan asrda Fransiyada dinni tahqirlash avj oladi.	c2ca99efdb9dbc34c025d544ed0c18920ec35f885451b2b3755044d1b37a0dd0	uz	grammar-or-spelling
U gapni, bu yil yozda men she’r yozdimmi-yo’qmi?	008467eab225c49e1a69c562785fdc545eb325306e14a79114bb33e9c5fbc900	uz	grammar-or-spelling
Prezidentimizning g’oyaviy, mafkuraviy bo’shliq’I bor.	1102c1b0b366cbe99331c4525d89ec16f65da65c3d7ad09b6b82a40989b9c5f5	uz	grammar-or-spelling
Soniyalar ichida bildim men.	550b18e9a8b0eacb0d4248bfaebb4fde2d48d5a5bd33a8a222aadb6cf5d6b83f	uz	grammar-or-spelling
Moychirog’u lampachiroq yorug’ida shunday tengsiz satrlar yozilgan	42ebc2632bcaaf34eefd9d11d8b817954d589d310da0f6ca11a8fc496c391770	uz	grammar-or-spelling
Komp`yuter paydo bo’lganiga necha o’n yillar bo’lgan.	4b4658ccc0698f639726a77d82d14ce77c97a9ac9aadcdd5979714f573cec440	uz	grammar-or-spelling
O’zi yozgan asari bilan shogirdigaga saboq beradi.	5a38f1bc77438525279d9bd5609f0f2918ca16e3379e9ea091b7c2b3bc875690	uz	"ga qo'shimchasi ikki marta yozilgan"
Uni to’kib yuborgandek qog’ozga tushgan.	41c05611b6dc46ee6874feae3e91c3192c98fe4586ef0b2ec10df101fa2f5704	uz	Mikrofonga ruxsat beradi
Buxoro viloyat matlubot uyushmasining kadrlar bo‘limi boshlig‘I edim.	61fe2f865b3dffb191dc29ab457247471ab38872a8369f8a634e1e447d8eac7b	uz	grammar-or-spelling
Uning O’shda qolishi ma’lum bo’ldi.	a71158fb611f509bf94ab61f8b8690f6f35d00c6cd1161f87a44b956d025a1e5	uz	O?qishni imkonini qila olmayapmiz. 
Siz ikkingiz uchun jamg’armamiz ochiq.	39bfb91ffa98fb1705740ebd234ef2b925e00c3d069917dc9815d08fbfcb2f6d	uz	grammar-or-spelling
Siz ikkingiz uchun jamg’armamiz ochiq.	39bfb91ffa98fb1705740ebd234ef2b925e00c3d069917dc9815d08fbfcb2f6d	uz	difficult-pronounce
Sizlar har qayerdan kelgansizlar.	7a1aa238fb0c5751ca815d21c75421e37988c43d043f1ccd8f513f85cde47ad6	uz	grammar-or-spelling
Sizlar har qayerdan kelgansizlar.	7a1aa238fb0c5751ca815d21c75421e37988c43d043f1ccd8f513f85cde47ad6	uz	difficult-pronounce
Uning o‘rni, tarbiyaning ahamiyati, ogohlikka da’vat bor.	bf1ffc93b5a6ca2131227605e2427431ea786dce1e8f61bf572991b6fc6784e1	uz	grammar-or-spelling
Tez so‘zlar tez pishmon bo‘lar	c7ce03f0c068deb8266ad49a0668feaf063d34042acb1c5f197a068470dc24a2	uz	grammar-or-spelling
Nihoyat bor sirini shamollarg berdi.	b2444dfa594264e989d8777d7ccbfbdd86585fae074ef2db81bbdfd8ba668f1e	uz	grammar-or-spelling
O’zing ham a xushyoqar narsalardan mosuvo bo’lasan.	c0c5018c744f015dcb7a75444c952d9b42094cdb088fbdb96fc052fc30575273	uz	grammar-or-spelling
Oʻzi umuman mintaqaga toza biznesga asoslangan siyosat yurgazuvchi mamlakatlar bilan hamkorliklarni tezroq mustahkamlaish kerak.	cf0e6eee41c6fb0bd0f2dfbc4c5248fda8097379c0fe7e4822e27381c4a2940c	uz	grammar-or-spelling
Baribir, ijodkor qat’iyati bu o’rinda shu.	c8674b241e48894d1580cc455c05eb7120d17014dcc8894402226d1ab17aa2b6	uz	grammar-or-spelling
Hisobi bilan falon kilometr ashula berildi	bf43dd5370092d32db9a10728a488308397505d19f425ac485cccf49c1cf28fd	uz	grammar-or-spelling
Uch soatlab gaplashaman chiroyli tushuntirib.	d1f2f815ea7611c3fecdb2e36e2bdfcbce557a134d3888e96d2ce4fb47065486	uz	grammar-or-spelling
Uning nihoyatda ma’sum ramzi.	d397403f6d0f00f04c34cadd4633a91e198d9aa712f8707da37b2bcbeee539c9	uz	grammar-or-spelling
Shu yillarim she’rlarim bor edi.	cc36a4ee3fab40c45241c255207ff8e8c7d32527dd6c70aace251597d54c7020	uz	grammar-or-spelling
She’rlar orasida faqat vaqt emas.	d561d997fa4ce17fff3314f9fa37712c423076c79be67e5e92183b563d6f244b	uz	grammar-or-spelling
Lekin bu narsalarga juda ko’p.	d2410a817d44decdeb60107b43f943f8a74b048af98984c0a9cd63e2429738a6	uz	grammar-or-spelling
Istarasi issiq, qo‘shiqqa monand.	d6f63708cf90fedcbaf6f95f6e6aa9e18fd15dddb23b5e8e6ee0faa67bfd529f	uz	grammar-or-spelling
