client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
8a0e6b4b620f657f2b9f6c830b0b891a070032957901d229f66766c28d471583339698b34245e047e0a84be28cee68a925b77bec27304013fa4ccb79fd1d9e2b	common_voice_uz_27043753.mp3	Uni qamoqxona darvozasidan tashqariga olib chiqishadi	0	2				uz	
8a0e6b4b620f657f2b9f6c830b0b891a070032957901d229f66766c28d471583339698b34245e047e0a84be28cee68a925b77bec27304013fa4ccb79fd1d9e2b	common_voice_uz_27043757.mp3	Asir askarlar ham o‘ldiriladi	0	2				uz	
f763d1835e4436a3a85f271bf404cdbcf23f9b9c6f7d4d76772ab58246f52f10b6ea6697e454caa590e7fc49f2d47db547a0d584303e1f113346ab93378d5ef4	common_voice_uz_27124866.mp3	Qancha ko‘p odam o‘qisa, shunchalik yaxshi bo‘lar edi.	0	2	twenties	female		uz	
f763d1835e4436a3a85f271bf404cdbcf23f9b9c6f7d4d76772ab58246f52f10b6ea6697e454caa590e7fc49f2d47db547a0d584303e1f113346ab93378d5ef4	common_voice_uz_27169182.mp3	Bu avvalo qulay xaridlar va albatta ajoyib aksiyada ishtirok etishingiz.	1	2				uz	
83d030a667d08c9e3d7abb7c2f6b72a0c6a139d149ea4c43f59be7afd0a73a11fd974d4f9658d110af6807b69b5f3ad866a27b6e0919896848b335b97a486dc5	common_voice_uz_27220616.mp3	Lekin menimcha bu unchalik to‘g‘ri fikr emas.	1	2	twenties	male		uz	
83d030a667d08c9e3d7abb7c2f6b72a0c6a139d149ea4c43f59be7afd0a73a11fd974d4f9658d110af6807b69b5f3ad866a27b6e0919896848b335b97a486dc5	common_voice_uz_27220633.mp3	Masalan, bir shaharda vaksina olganlarga tekin pivo berishdi.	0	2	twenties	male		uz	
83d030a667d08c9e3d7abb7c2f6b72a0c6a139d149ea4c43f59be7afd0a73a11fd974d4f9658d110af6807b69b5f3ad866a27b6e0919896848b335b97a486dc5	common_voice_uz_27220673.mp3	Tez orada Yettisuv va Sharqiy Turkistonga tutashgan yurtlarda yashovchi turkiy qabilalar bo‘ysundiriladi.	1	2	twenties	male		uz	
29de6abc40fa543166b748fe4b49d36a14faffed19b506e3ae6029fd4a5160032bf392ae72ca828eb902b8014bfbed129a998edb887eca97e0cf449fcdce0f93	common_voice_uz_27224736.mp3	Darvoqe, Maykl futbolchilik paytida Arsenaldan ham ko‘proq Evertonda o‘ynagan.	0	2				uz	
f763d1835e4436a3a85f271bf404cdbcf23f9b9c6f7d4d76772ab58246f52f10b6ea6697e454caa590e7fc49f2d47db547a0d584303e1f113346ab93378d5ef4	common_voice_uz_27236801.mp3	Hoshimov Iqtisodiyotida esa, xuddi shaxsiy suhbat kabi o‘ylaganini gapirish imkoniyati mavjud.	1	2				uz	
3ec92acb6ea75a71d8eccf2686b5ea86a4c846043bb8bb181749226d8e8e7743a63e134b479800feeb7b42afeb07f0e8d39a11f700f3e6d669cbd378c080d2c4	common_voice_uz_27669444.mp3	She’r o‘qib bizlarni quvnating.	1	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27893512.mp3	Yo‘q, biror narsaning teskari bo‘lib ketishi oson emas.	1	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27893513.mp3	Nashrga tayyorlanilayotgan darsliklarda ko‘p so‘zli lug‘atga asoslanilyapti.	1	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27894759.mp3	Ularga Kidar ismli hukmdor boshchilik qilganligi uchun ularni kidariylar deb ham atashadi.	1	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27894994.mp3	Murabbiy esa, o‘sha o‘yinda Manchester Sitida ishlayotgandi.	0	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27895455.mp3	Buncha hududlarni egallab, kolonizatsiya qilishga arablarning insoniy resurslari yetishmasdi.	1	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27895459.mp3	Sug‘dliklarga yordam berish uchun Yettisuvdan turk lashkarlari keladi.	0	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27895876.mp3	Milliy o‘quv dasturi bo‘yicha darsliklar yangitdan ishlanyapti.	1	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27895877.mp3	Albatta, bunda ham so‘nggi yillarda londonliklarning transfer bozoridagi muvaffaqiyatli faoliyati zamin yaratgan.	1	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27895880.mp3	Ojiznikidan qo‘rqing.	1	2				uz	
bb9ab3b030a57bed234eeb937f51469584c005dae368bf4eb3ccb484a38e45405c7886c4a8f34869661eb39333861067b04a6443e627a29b4da4b9f058168084	common_voice_uz_27896066.mp3	Ne azobki, insonning bilganini anglay olmasligi.	0	2				uz	
d7db4fb84e90ad880955da44c0df690322d8ad0d6ff40bdb5e28c0940c9369249637b7feed821febcdda258c9375520d5c2a187881660bd97cfea65bc1454f35	common_voice_uz_28111587.mp3	Nimagadir Janubiy okean nomida Tinch okeandagi kabi xatoga yo‘l qo‘ymaymiz.	1	2				uz	
d7db4fb84e90ad880955da44c0df690322d8ad0d6ff40bdb5e28c0940c9369249637b7feed821febcdda258c9375520d5c2a187881660bd97cfea65bc1454f35	common_voice_uz_28111589.mp3	Qizig‘i, aynan yoshlarni olib kelish faoliyatidagi noqonuniy harakatlar tufayli, taqiq amalda.	0	2				uz	
8dc5ae2449eab9f3f9b45c4a35a50a04aca7c97b734ac276da9165a99ef5ad87a7ef49392e519e05093dde865fb0841ccc34a1ce35a683fa365c5b172c2442fd	common_voice_uz_28245713.mp3	Yig‘ilgan mablag‘ rasman tasdiqlangan daromadga muvofiq bo‘lishi lozim.	0	2	thirties	female		uz	
8dc5ae2449eab9f3f9b45c4a35a50a04aca7c97b734ac276da9165a99ef5ad87a7ef49392e519e05093dde865fb0841ccc34a1ce35a683fa365c5b172c2442fd	common_voice_uz_28245714.mp3	Ko‘pincha suvosti so‘zi suv osti shaklida xato yoziladi.	1	2	thirties	female		uz	
8dc5ae2449eab9f3f9b45c4a35a50a04aca7c97b734ac276da9165a99ef5ad87a7ef49392e519e05093dde865fb0841ccc34a1ce35a683fa365c5b172c2442fd	common_voice_uz_28245715.mp3	Lekin O‘zbekistonda statistikaga ta’sir qiladigan ikkinchi qarshi ko‘rsatkich bor.	0	2	thirties	female		uz	
8dc5ae2449eab9f3f9b45c4a35a50a04aca7c97b734ac276da9165a99ef5ad87a7ef49392e519e05093dde865fb0841ccc34a1ce35a683fa365c5b172c2442fd	common_voice_uz_28245716.mp3	Begunoh asirlar ham o‘ldiriladi.	0	2	thirties	female		uz	
8dc5ae2449eab9f3f9b45c4a35a50a04aca7c97b734ac276da9165a99ef5ad87a7ef49392e519e05093dde865fb0841ccc34a1ce35a683fa365c5b172c2442fd	common_voice_uz_28245717.mp3	Bu voqea Toshkentda ikki talaba o‘qiydigan universitetni yonida sodir bo‘lgan edi.	0	2	thirties	female		uz	
8dc5ae2449eab9f3f9b45c4a35a50a04aca7c97b734ac276da9165a99ef5ad87a7ef49392e519e05093dde865fb0841ccc34a1ce35a683fa365c5b172c2442fd	common_voice_uz_28245982.mp3	Yo‘qsillik qayerda bo‘lsa, ne’mat o‘sha yerga ketar.	0	2	thirties	female		uz	
8dc5ae2449eab9f3f9b45c4a35a50a04aca7c97b734ac276da9165a99ef5ad87a7ef49392e519e05093dde865fb0841ccc34a1ce35a683fa365c5b172c2442fd	common_voice_uz_28245983.mp3	Yaqin do‘stimning amma-xolasi kelin oviga chiqishibdi.	0	2	thirties	female		uz	
8dc5ae2449eab9f3f9b45c4a35a50a04aca7c97b734ac276da9165a99ef5ad87a7ef49392e519e05093dde865fb0841ccc34a1ce35a683fa365c5b172c2442fd	common_voice_uz_28245986.mp3	Oilaviy hamda mehmonga borish vizasi, yaqin qarindoshlar, do‘stlar bilan ko‘rishish uchun.	0	2	thirties	female		uz	
8dc5ae2449eab9f3f9b45c4a35a50a04aca7c97b734ac276da9165a99ef5ad87a7ef49392e519e05093dde865fb0841ccc34a1ce35a683fa365c5b172c2442fd	common_voice_uz_28245988.mp3	Hamma qoida bo‘yicha haydagandan keyin, bunga hojat yo‘q-da!	0	2	thirties	female		uz	
47422466a12986225f10c77e8e34783aafc525e4a7a5da10ce1bd0cf404bdc762fa8041dbc0eb4a874bd562da69dbe842816c7b05f3ba656ff54d642020f98ce	common_voice_uz_28466062.mp3	O‘tgan yili Qo‘qon jamoasi o‘z maydonida Paxtakorni qabul qilgandi.	0	2				uz	
47422466a12986225f10c77e8e34783aafc525e4a7a5da10ce1bd0cf404bdc762fa8041dbc0eb4a874bd562da69dbe842816c7b05f3ba656ff54d642020f98ce	common_voice_uz_28466063.mp3	Go‘dakni xo‘rlash cheksiz gunoh.	1	2				uz	
47422466a12986225f10c77e8e34783aafc525e4a7a5da10ce1bd0cf404bdc762fa8041dbc0eb4a874bd562da69dbe842816c7b05f3ba656ff54d642020f98ce	common_voice_uz_28466064.mp3	U orqali millionlab o‘zbekistonliklar fikr almashyapti.	0	2				uz	
